name,price.Ask,date,TSI,age,days,special,keep,defn,play,wing,pase,score,sp,form,stamina,wage,playerId,link,priceSell,Date.Sell,sold?
Carl Joachim Zinkl,5000,4/3/2020,730,18,25,-,1,3,7,5,5,2,3,6,4,420,450669296,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=450669296,5000,4/3/2020,Vendido
Constantin-Simion Oprea,194000,4/5/2020,1710,18,28,Technical,1,3,8,3,5,4,2,6,7,684,447388240,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=447388240,90000,2/29/2020,Sin Vender
Huibert Spreeuwenberg,12000,4/5/2020,980,18,31,Quick,1,2,7,3,5,4,4,6,6,516,450381734,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=450381734,1000,4/1/2020,Sin Vender
Max Hardacre,1625000,4/6/2020,5130,18,33,Head,1,2,7,2,7,8,2,7,6,540,447303860,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=447303860,890000,12/15/2019,Sin Vender
Vojin MilosavljeviÄ‡,386000,4/5/2020,3210,18,36,-,1,5,8,4,7,4,1,7,5,660,449645753,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=449645753,125460,2/14/2020,Sin Vender
Romain Bruninx,750000,4/6/2020,4150,18,37,-,1,4,7,6,8,3,6,6,5,660,450141673,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=450141673,111000,3/18/2020,Sin Vender
Conraad Hermans,69000,4/6/2020,1050,18,40,Quick,1,3,8,3,5,3,2,4,6,564,447647429,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=447647429,25000,2/2/2020,Sin Vender
Dominic SÃ¸rlie,800000,4/3/2020,5020,18,42,-,1,4,7,6,8,2,2,7,8,492,448263374,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=448263374,800000,4/3/2020,Vendido
Nabil Assoumani,79000,4/6/2020,2290,18,44,-,1,4,7,3,7,4,2,6,6,444,447252024,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=447252024,79000,4/6/2020,Vendido
Reetu Loiri,15000,4/6/2020,1440,18,45,-,1,3,7,1,5,5,4,6,5,540,450056956,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=450056956,15000,4/6/2020,Vendido
Joanes Ernio,1800000,4/6/2020,7740,18,45,Powerful,1,3,9,4,9,2,2,7,6,852,447106201,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=447106201,1129000,2/13/2020,Sin Vender
Mathias Skipper,1350000,4/4/2020,6130,18,47,-,1,3,10,3,6,4,4,5,7,1188,447051796,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=447051796,682000,3/30/2020,Sin Vender
Gergely Czinder,1090000,4/6/2020,3950,18,54,-,1,4,9,7,5,4,2,5,6,732,446928549,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=446928549,197000,10/26/2019,Sin Vender
Nolan Plu,300000,4/3/2020,2200,18,59,-,1,3,8,6,5,3,5,6,7,564,447344691,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=447344691,266000,12/8/2019,Sin Vender
Hansruedi Merino,1436160,4/6/2020,8970,18,61,-,1,2,11,2,6,3,3,7,7,1596,446902836,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=446902836,1807000,4/6/2020,Vendido
Kazimierz Boratyn,274000,4/4/2020,2600,18,65,-,1,6,7,4,7,3,2,5,7,468,447679206,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=447679206,274000,4/4/2020,Vendido
Mohd Shas Azib,376380,4/6/2020,5050,18,65,-,1,5,9,3,5,3,6,7,7,1044,446658680,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=446658680,376380,4/6/2020,Vendido
Juvenal Tabares,198000,4/6/2020,2660,18,67,Unpredictable,1,3,8,2,7,3,9,8,6,330,446512602,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=446512602,500000,4/6/2020,Vendido
Christian Zimmermann,150000,4/6/2020,1350,18,67,-,1,3,7,4,7,3,2,3,8,420,446798510,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=446798510,7000,3/25/2020,Sin Vender
Thomas Jallais,775000,4/4/2020,3140,18,68,Quick,1,8,7,4,5,2,3,6,6,444,448829489,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=448829489,775000,4/4/2020,Vendido
Feliks Fronc,255000,4/6/2020,3490,18,74,-,1,2,9,5,5,5,4,6,6,444,445851764,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445851764,362000,4/6/2020,Vendido
Delfim Freitas Ferreira,1250000,4/3/2020,3830,18,75,Quick,1,3,8,4,8,3,1,4,6,684,445812548,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445812548,594000,1/7/2020,Sin Vender
Lamberto Liardo,2500000,4/6/2020,6940,18,77,-,1,4,9,5,7,7,4,6,6,660,448598571,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=448598571,1122000,3/15/2020,Sin Vender
Junior Meledje,850000,4/4/2020,9450,18,78,-,1,5,7,4,9,6,2,6,7,612,447078729,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=447078729,1071000,4/4/2020,Vendido
Halfdan Moestrup,1122000,4/3/2020,8660,18,79,-,1,3,11,4,5,2,6,6,7,2532,445765894,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445765894,1300000,4/3/2020,Vendido
Mauro Moragas,1199000,4/3/2020,7990,18,81,Unpredictable,1,5,8,4,9,4,2,7,6,588,447429146,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=447429146,710000,2/10/2020,Sin Vender
Francisco Javier Onrubia Rivas,3575000,4/5/2020,18410,18,81,-,1,4,12,7,6,3,3,6,6,2340,445749198,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445749198,1084000,9/28/2019,Sin Vender
Andrzej Michalski,2185000,4/5/2020,16650,18,81,Unpredictable,1,4,11,6,6,3,5,8,6,1860,445732144,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445732144,3259000,4/4/2020,Sin Vender
Andrzej Karwowski,900000,4/6/2020,5060,18,82,Quick,1,3,10,3,7,3,3,4,6,756,447521660,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=447521660,1122000,4/6/2020,Vendido
Brian Kinsey,1405000,4/5/2020,8360,18,82,-,1,3,11,3,5,4,5,6,7,2124,445916069,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445916069,1463000,4/5/2020,Vendido
Hugo Espak,1000000,4/6/2020,6820,18,83,-,1,4,8,4,9,5,3,5,7,612,445767397,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445767397,718000,2/11/2020,Sin Vender
Valter Ghio,750000,4/3/2020,6230,18,86,-,1,5,10,3,5,3,3,7,7,1020,445639488,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445639488,2000,9/21/2019,Sin Vender
Baptiste Billard,1000000,4/6/2020,5310,18,87,-,1,3,9,3,8,3,3,7,6,1068,446828539,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=446828539,1000000,4/6/2020,Vendido
Deon Gabor,3544500,4/5/2020,11700,18,87,Unpredictable,1,4,11,5,6,6,5,5,7,1428,445651683,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445651683,2000001,11/7/2019,Sin Vender
Rune Otzen,2000,4/3/2020,910,18,89,-,1,5,7,5,5,2,2,5,6,372,447641729,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=447641729,4000,4/3/2020,Vendido
RaÃºl Castelgali,3165060,4/6/2020,18190,18,90,-,1,5,12,3,7,3,4,5,6,2580,445627164,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445627164,3165060,4/6/2020,Vendido
Nigel Hannigan,2209320,4/5/2020,13390,18,90,Technical,1,3,11,6,7,3,1,6,6,1428,445755980,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445755980,2441000,4/4/2020,Sin Vender
Massimiliano Rigo,1850000,4/4/2020,8690,18,91,-,1,4,10,5,7,5,2,6,7,1236,445626256,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445626256,1850000,4/4/2020,Vendido
Arnolds Barbans,3000000,4/5/2020,13110,18,91,Powerful,2,3,11,4,7,5,3,6,6,1932,445740043,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445740043,2277000,3/16/2020,Sin Vender
Tudor Grigorescu,4500000,4/5/2020,14200,18,92,Powerful,1,4,11,2,8,3,2,8,7,1500,445630187,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445630187,2999000,3/17/2020,Sin Vender
DuÅ¡an RaduloviÄ‡,38000,4/4/2020,2250,18,94,-,1,4,7,5,7,4,2,4,8,540,445588761,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445588761,101000,4/4/2020,Vendido
Sherif Afifi,4000000,4/5/2020,17980,18,94,Quick,1,5,12,2,6,4,4,8,6,1668,445639703,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445639703,4000000,4/5/2020,Vendido
Mircea-Andrei CizmaÅŸ,1106000,4/4/2020,12050,18,95,-,1,4,11,4,6,4,3,6,7,1116,445663293,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445663293,1940000,4/4/2020,Vendido
Emre SukuÅŸu,1800000,4/5/2020,9690,18,95,-,1,5,11,3,6,4,2,5,7,1380,445547894,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445547894,33000,9/14/2019,Sin Vender
Thada Wutthilekha,1268000,4/3/2020,7070,18,98,Powerful,1,2,10,6,6,3,1,7,7,900,445471490,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445471490,1268000,4/3/2020,Vendido
ç½— (Luo)  åŠ›è½© (Lixuan) ,2446000,4/6/2020,9520,18,99,Unpredictable,1,3,11,2,7,2,1,5,7,1044,445518359,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445518359,455000,11/27/2019,Sin Vender
Alessandro van der Rijst,2250000,4/6/2020,10270,18,100,-,1,4,11,2,7,2,2,6,7,1140,445480640,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445480640,2250000,4/6/2020,Vendido
Leif Rudloff,450000,4/3/2020,3740,18,101,Powerful,1,4,9,2,6,3,4,6,7,684,447328278,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=447328278,2000,11/18/2019,Sin Vender
Dave Thiere,1000,4/5/2020,980,18,104,-,1,3,7,4,5,4,3,6,4,420,450406037,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=450406037,9000,4/5/2020,Vendido
Ã–kkeÅŸ BalÄ±kÃ§Ä±,1530000,4/6/2020,9610,18,104,Powerful,1,3,10,3,8,5,4,7,6,612,445466421,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445466421,1530000,4/6/2020,Vendido
Wolframio Allende,14000,4/4/2020,570,18,105,-,1,2,7,3,6,1,2,3,5,372,447717385,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=447717385,14000,4/4/2020,Vendido
Miroslav SlavkoviÄ‡,2800000,4/6/2020,14270,18,105,Head,1,2,12,3,5,4,4,7,6,1380,446559757,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=446559757,3283000,4/6/2020,Vendido
MÃ¡rio Augusto Carioca,2350000,4/3/2020,12380,18,105,-,1,2,11,4,7,3,2,7,7,948,445410399,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445410399,332000,11/24/2019,Sin Vender
Waldemar BoÅ¼Ä™cki,362000,4/4/2020,4200,18,106,Unpredictable,1,3,8,3,5,7,2,6,7,684,445452831,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445452831,370000,4/4/2020,Vendido
MÃ¡rio Nicolau,1250000,4/6/2020,5410,18,106,Head,1,4,9,3,8,5,2,3,7,1284,445433304,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445433304,1250000,4/6/2020,Vendido
é Œå¤ª (Kota) æœ¬ç”° (Honda),2000000,4/5/2020,6760,18,106,-,1,2,11,3,5,3,3,5,6,2028,445612071,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445612071,1250000,3/16/2020,Sin Vender
Pere EscardÃ³,175000,4/6/2020,3070,18,107,-,1,3,9,3,5,4,3,6,6,444,445785380,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445785380,175000,4/6/2020,Vendido
Mihai-Constantin Costache,1100000,4/3/2020,6350,18,107,-,1,3,10,3,7,3,4,6,7,564,446818137,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=446818137,800000,4/6/2020,Vendido
Piero Paravagna,353940,4/5/2020,2670,18,107,Quick,1,3,9,4,6,2,1,3,7,492,445849167,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445849167,5000,10/14/2019,Sin Vender
Mert Berkay YÄ±ldÄ±zhan,1500000,4/4/2020,3670,18,107,-,1,3,8,2,8,3,2,6,7,588,445447039,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445447039,8000,1/15/2020,Sin Vender
Mario Floretta,650000,4/5/2020,2430,18,107,Head,1,8,7,3,5,3,1,4,6,492,448320910,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=448320910,75500,3/2/2020,Sin Vender
Vidal Caralt,710000,4/5/2020,6420,18,107,-,1,4,10,4,5,4,2,6,7,1044,445393328,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445393328,550000,3/6/2020,Sin Vender
å¼  (Zhang)  å­å— (Zinan),4590000,4/6/2020,27880,18,108,-,1,5,13,5,6,3,2,6,7,3636,445375737,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445375737,4590000,4/6/2020,Vendido
Anthony Lemieux,53000,4/3/2020,10170,18,109,-,1,3,11,5,5,2,2,7,7,1476,445337497,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445337497,1128000,4/3/2020,Vendido
Giuseppe Chiari,850000,4/4/2020,5150,18,109,Technical,1,4,10,3,5,2,1,5,7,1068,445387132,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445387132,256020,1/7/2020,Sin Vender
Radivoj OgrajenÅ¡ek,4500000,4/5/2020,11820,18,110,-,1,4,12,4,5,6,3,4,7,2604,445385189,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445385189,2490000,3/6/2020,Sin Vender
Thomas Steckel,450000,4/6/2020,4770,18,111,Powerful,1,5,9,4,5,3,2,6,7,540,445887259,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445887259,450000,4/6/2020,Vendido
Marc De Boer,750000,4/3/2020,4650,18,111,-,1,4,9,4,7,4,4,5,6,780,445408993,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445408993,50000,9/5/2019,Sin Vender
Ãkos Balla,1700000,4/5/2020,5530,18,111,-,1,3,11,3,5,3,3,3,6,1356,445400101,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445400101,950000,3/30/2020,Sin Vender
Edvard BrezavÅ¡Äek,3000000,4/5/2020,16060,19,0,-,1,5,12,3,5,5,2,5,6,6516,445329588,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445329588,3000000,4/5/2020,Vendido
Ian Philpotts,80000,4/5/2020,2410,19,0,Powerful,1,3,7,3,7,4,4,4,7,636,445322248,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445322248,204000,12/8/2019,Sin Vender
Jacques Schaefer,1500000,4/3/2020,6620,19,0,-,1,5,8,2,9,6,2,4,6,1092,445335805,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445335805,305999,12/11/2019,Sin Vender
Sascha Melcher,1100000,4/6/2020,7040,19,0,Head,1,4,9,3,8,3,5,6,7,1212,445395059,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445395059,903000,3/20/2020,Sin Vender
JosÃ© MarÃ­a GonzÃ¡lez-Grano de Oro,280000,4/1/2020,4310,19,1,-,1,5,8,3,8,3,4,6,7,708,447343259,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=447343259,286000,4/1/2020,Vendido
Phan Trá»ng TÆ°á»ng,1700000,4/6/2020,9410,19,1,-,1,3,11,4,6,3,4,5,7,3468,445335982,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445335982,50000,8/29/2019,Sin Vender
David Larkins,40000,4/3/2020,2050,19,2,-,1,2,7,5,7,2,5,7,6,516,449932669,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=449932669,40000,4/3/2020,Vendido
Eui-Tae Jang,333333,3/31/2020,4090,19,3,Unpredictable,1,6,7,3,8,4,1,6,5,660,445873367,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445873367,290000,11/25/2019,Sin Vender
Fadhullah Safiuddin Hamid,1472222,4/4/2020,7840,19,5,-,1,6,11,2,6,5,3,2,6,3924,444958643,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444958643,1799000,4/4/2020,Vendido
Oswaldo Delgado,1353000,4/6/2020,10380,19,5,Powerful,1,4,11,2,6,3,1,6,7,3276,445709285,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445709285,2000000,4/6/2020,Vendido
LÃ¡szlÃ³ SzÃ­jjÃ¡rtÃ³,525000,4/4/2020,6600,19,6,Unpredictable,1,4,9,4,8,5,2,5,7,1020,444416835,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444416835,558000,4/4/2020,Vendido
PaweÅ‚ CieÅ›la,2255000,4/4/2020,23490,19,6,-,1,4,12,5,7,4,2,6,7,6540,445258238,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445258238,2698000,4/3/2020,Sin Vender
Ludovic Bressy,20000,3/31/2020,7470,19,8,Head,1,2,7,6,9,3,1,6,6,1164,445339652,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445339652,206040,3/31/2020,Vendido
Kelt Verbij,463000,4/2/2020,11620,19,8,Head,1,3,8,3,9,6,3,7,7,1284,446783103,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=446783103,769000,4/2/2020,Vendido
å¹¸åš (Yukihiro) å‚ä¸‹ (Sakashita),510000,4/6/2020,5540,19,10,-,1,4,7,4,9,4,6,8,6,876,448252327,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=448252327,510000,4/6/2020,Vendido
Fuad Pinedo,1250000,4/5/2020,10300,19,10,Technical,1,5,10,4,7,4,2,7,6,2172,447086406,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=447086406,555900,11/3/2019,Sin Vender
Eero-Matti Vuoto,2000,3/31/2020,2020,19,11,Quick,1,3,7,4,8,4,1,3,7,564,447563200,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=447563200,26000,3/31/2020,Vendido
Paulo Esteban FrÃ­as,791000,4/1/2020,17210,19,11,-,1,3,8,5,11,6,2,7,7,1092,443336528,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443336528,807000,4/1/2020,Vendido
Ralf Motzet,1380000,4/6/2020,9360,19,12,-,1,3,11,7,5,2,1,5,6,3132,444930726,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444930726,1380000,4/6/2020,Vendido
Jake Bell,499000,4/6/2020,16100,19,12,-,1,4,11,5,9,3,1,6,6,3324,445552881,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445552881,250000,9/15/2019,Sin Vender
Laurits Ulstrup,286000,4/4/2020,14550,19,15,Quick,1,3,11,4,5,5,3,7,7,4308,444830380,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444830380,1106000,4/3/2020,Sin Vender
Carsten Binroth,1900000,4/6/2020,14540,19,16,-,1,5,10,3,9,3,2,7,7,2100,445348731,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445348731,255000,10/21/2019,Sin Vender
Riccardo De Martin,750000,3/31/2020,7950,19,17,Support,1,4,7,6,9,6,1,4,7,1116,444949420,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444949420,750000,3/31/2020,Vendido
Tanausu PÃ©rez,400000,4/4/2020,5820,19,18,-,1,2,10,4,5,5,1,6,7,1692,445619829,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445619829,510003,4/4/2020,Vendido
RamÃ³n MarÃ­a Rincon Ramos,1250000,4/4/2020,7530,19,18,-,1,4,10,5,5,4,1,6,7,2676,444928039,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444928039,39000,10/16/2019,Sin Vender
SzilÃ¡rd Szelthoffer,1210000,4/5/2020,12430,19,18,-,1,5,11,3,6,4,3,8,7,3132,444836217,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444836217,337620,11/28/2019,Sin Vender
Alberto Gauzolino,1800000,4/5/2020,9760,19,18,-,1,4,11,2,6,4,4,5,7,3492,445349007,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445349007,1099999,3/16/2020,Sin Vender
Juuso Junolainen,1350000,4/5/2020,9640,19,18,-,1,2,11,4,7,3,2,4,7,3636,444855677,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444855677,1130000,3/3/2020,Sin Vender
Henning Smets,2000000,4/5/2020,6860,19,19,Powerful,1,4,11,2,5,2,4,6,6,3444,444983667,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444983667,1200000,3/13/2020,Sin Vender
GrÃ©gory Le Mehaute,2040000,4/6/2020,17740,19,20,-,1,6,12,3,5,4,2,7,6,4908,444930559,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444930559,2081000,4/6/2020,Vendido
Orlando Nascig,2000,4/4/2020,1000,19,21,Powerful,1,4,7,4,6,3,3,3,5,444,450045373,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=450045373,5000,4/4/2020,Vendido
Xaver Brugmann,212160,4/3/2020,8050,19,22,-,1,5,8,2,9,5,1,6,7,780,445486807,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445486807,448800,4/3/2020,Vendido
Josep Oriol Canaletas,250000,4/4/2020,4970,19,23,-,1,2,8,4,8,4,1,7,7,828,445887338,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445887338,255000,4/4/2020,Vendido
Marco Iacchetti,2166000,4/3/2020,18400,19,24,-,1,4,12,4,6,4,4,6,7,5484,444851749,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444851749,2166000,4/3/2020,Vendido
Miguel Joaquim Cantor,300000,4/6/2020,4270,19,24,Head,1,5,8,3,5,5,2,7,7,996,446815839,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=446815839,229000,1/26/2020,Sin Vender
