,0,1,2
410,Team attitude,(Hidden),(Hidden)
411,Tactic,Normal,Play creatively
412,Tactic skill,(no tactic),10
413,Style of play,100% Defensive,Neutral
414,Average ratings,Average ratings,Average ratings
415,Total player experience,250,675
416,Average midfield,200,225
417,Average defence,225,625
418,Average attack,200,300
419,Total average,200,375
420,Midfield,150,850
421,Right defence,200,1225
422,Central defence,225,975
423,Left defence,225,1350
424,Right attack,200,950
425,Central attack,225,975
426,Left attack,250,675
427,Indirect set pieces,Indirect set pieces,Indirect set pieces
428,Defence,275,925
429,Attack,300,850
430,Match plan,Match plan,Match plan
431,Team attitude,(Hidden),(Hidden)
432,Tactic,Normal,Normal
433,Tactic skill,(no tactic),(no tactic)
434,Style of play,100% Offensive,Neutral
435,Average ratings,Average ratings,Average ratings
436,Total player experience,275,825
437,Average midfield,150,850
438,Average defence,225,1200
439,Average attack,225,875
440,Total average,200,975
441,Midfield,175,825
442,Right defence,175,975
443,Central defence,250,850
444,Left defence,225,750
445,Right attack,225,1025
446,Central attack,200,900
447,Left attack,200,550
448,Indirect set pieces,Indirect set pieces,Indirect set pieces
449,Defence,275,875
450,Attack,275,800
451,Match plan,Match plan,Match plan
452,Team attitude,(Hidden),(Hidden)
453,Tactic,Normal,Normal
454,Tactic skill,(no tactic),(no tactic)
455,Style of play,100% Offensive,100% Offensive
456,Average ratings,Average ratings,Average ratings
457,Total player experience,200,1200
458,Average midfield,175,825
459,Average defence,225,850
460,Average attack,225,825
461,Total average,200,825
462,Midfield,200,775
463,Right defence,350,1050
464,Central defence,325,1300
465,Left defence,250,900
466,Right attack,225,250
467,Central attack,200,350
468,Left attack,200,450
469,Indirect set pieces,Indirect set pieces,Indirect set pieces
470,Defence,275,825
471,Attack,250,575
472,Match plan,Match plan,Match plan
473,Team attitude,(Hidden),(Hidden)
474,Tactic,Normal,Normal
475,Tactic skill,(no tactic),(no tactic)
476,Style of play,100% Defensive,Neutral
477,Average ratings,Average ratings,Average ratings
478,Total player experience,225,775
479,Average midfield,200,775
480,Average defence,300,1075
481,Average attack,200,350
482,Total average,225,725
483,Midfield,200,425
484,Right defence,225,475
485,Central defence,275,675
486,Left defence,250,400
487,Right attack,150,475
488,Central attack,150,900
489,Left attack,175,500
490,Indirect set pieces,Indirect set pieces,Indirect set pieces
491,Defence,250,500
492,Attack,275,500
493,Match plan,Match plan,Match plan
494,Team attitude,(Hidden),(Hidden)
495,Tactic,Normal,Normal
496,Tactic skill,(no tactic),(no tactic)
497,Style of play,100% Defensive,Neutral
498,Average ratings,Average ratings,Average ratings
499,Total player experience,300,250
500,Average midfield,200,425
501,Average defence,250,525
502,Average attack,150,625
503,Total average,200,525
504,Midfield,200,725
505,Right defence,300,625
506,Central defence,325,1300
507,Left defence,325,850
508,Right attack,250,725
509,Central attack,175,1025
510,Left attack,175,725
511,Indirect set pieces,Indirect set pieces,Indirect set pieces
512,Defence,275,675
513,Attack,250,750
514,Match plan,Match plan,Match plan
515,Team attitude,(Hidden),(Hidden)
516,Tactic,Normal,Normal
517,Tactic skill,(no tactic),(no tactic)
518,Style of play,100% Defensive,Neutral
519,Average ratings,Average ratings,Average ratings
520,Total player experience,275,925
521,Average midfield,200,725
522,Average defence,325,925
523,Average attack,200,825
524,Total average,250,825
525,Midfield,200,650
526,Right defence,225,1450
527,Central defence,350,1725
528,Left defence,425,1250
529,Right attack,200,550
530,Central attack,200,575
531,Left attack,250,500
532,Indirect set pieces,Indirect set pieces,Indirect set pieces
533,Defence,325,950
534,Attack,300,700
535,Match plan,Match plan,Match plan
536,Team attitude,(Hidden),(Hidden)
537,Tactic,Normal,Normal
538,Tactic skill,(no tactic),(no tactic)
539,Style of play,100% Defensive,Neutral
540,Average ratings,Average ratings,Average ratings
541,Total player experience,250,800
542,Average midfield,200,650
543,Average defence,350,1475
544,Average attack,225,550
545,Total average,250,900
546,Midfield,200,350
547,Right defence,175,800
548,Central defence,200,1125
549,Left defence,200,550
550,Right attack,200,375
551,Central attack,175,500
552,Left attack,175,600
553,Indirect set pieces,Indirect set pieces,Indirect set pieces
554,Defence,250,800
555,Attack,250,650
556,Match plan,Match plan,Match plan
557,Team attitude,(Hidden),(Hidden)
558,Tactic,Normal,Normal
559,Tactic skill,(no tactic),(no tactic)
560,Style of play,100% Offensive,100% Defensive
561,Average ratings,Average ratings,Average ratings
562,Total player experience,225,925
563,Average midfield,200,350
564,Average defence,200,825
565,Average attack,200,500
566,Total average,200,550
567,Midfield,175,750
568,Right defence,175,1700
569,Central defence,250,1700
570,Left defence,225,1975
571,Right attack,200,800
572,Central attack,200,750
573,Left attack,225,750
574,Indirect set pieces,Indirect set pieces,Indirect set pieces
575,Defence,225,1025
576,Attack,300,800
577,Match plan,Match plan,Match plan
578,Team attitude,(Hidden),(Hidden)
579,Tactic,Normal,Normal
580,Tactic skill,(no tactic),(no tactic)
581,Style of play,100% Defensive,100% Defensive
582,Average ratings,Average ratings,Average ratings
583,Total player experience,225,1225
584,Average midfield,175,750
585,Average defence,225,1800
586,Average attack,200,775
587,Total average,200,1100
588,Midfield,200,800
589,Right defence,175,1875
590,Central defence,225,1525
591,Left defence,225,1350
592,Right attack,250,500
593,Central attack,300,650
594,Left attack,325,500
595,Indirect set pieces,Indirect set pieces,Indirect set pieces
596,Defence,275,900
597,Attack,325,700
598,Match plan,Match plan,Match plan
599,Team attitude,(Hidden),(Hidden)
600,Tactic,Normal,Normal
601,Tactic skill,(no tactic),(no tactic)
602,Style of play,100% Offensive,100% Defensive
603,Average ratings,Average ratings,Average ratings
604,Total player experience,300,875
605,Average midfield,200,800
606,Average defence,225,1575
607,Average attack,300,550
608,Total average,250,975
609,Midfield,225,900
610,Right defence,225,2100
611,Central defence,250,2175
612,Left defence,250,2075
613,Right attack,250,700
614,Central attack,250,775
615,Left attack,225,750
616,Indirect set pieces,Indirect set pieces,Indirect set pieces
617,Defence,275,1000
618,Attack,275,775
619,Match plan,Match plan,Match plan
620,Team attitude,(Hidden),(Hidden)
621,Tactic,Normal,Normal
622,Tactic skill,(no tactic),(no tactic)
623,Style of play,100% Offensive,100% Defensive
624,Average ratings,Average ratings,Average ratings
625,Total player experience,250,1000
626,Average midfield,225,900
627,Average defence,225,2125
628,Average attack,250,750
629,Total average,225,1250
630,Midfield,200,600
631,Right defence,225,1450
632,Central defence,275,1300
633,Left defence,300,1075
634,Right attack,225,525
635,Central attack,175,625
636,Left attack,250,575
637,Indirect set pieces,Indirect set pieces,Indirect set pieces
638,Defence,275,775
639,Attack,275,550
640,Match plan,Match plan,Match plan
641,Team attitude,(Hidden),(Hidden)
642,Tactic,Normal,Normal
643,Tactic skill,(no tactic),(no tactic)
644,Style of play,100% Offensive,100% Offensive
645,Average ratings,Average ratings,Average ratings
646,Total player experience,275,700
647,Average midfield,200,600
648,Average defence,275,1275
649,Average attack,225,575
650,Total average,225,825
651,Midfield,200,575
652,Right defence,175,1425
653,Central defence,200,1525
654,Left defence,225,1475
655,Right attack,175,550
656,Central attack,225,525
657,Left attack,250,675
658,Indirect set pieces,Indirect set pieces,Indirect set pieces
659,Defence,275,850
660,Attack,300,725
661,Match plan,Match plan,Match plan
662,Team attitude,(Hidden),(Hidden)
663,Tactic,Normal,Normal
664,Tactic skill,(no tactic),(no tactic)
665,Style of play,100% Offensive,100% Defensive
666,Average ratings,Average ratings,Average ratings
667,Total player experience,275,750
668,Average midfield,200,575
669,Average defence,200,1475
670,Average attack,225,575
671,Total average,200,875
672,Midfield,150,725
673,Right defence,225,2275
674,Central defence,225,2625
675,Left defence,200,2475
676,Right attack,225,575
677,Central attack,250,550
678,Left attack,250,425
679,Indirect set pieces,Indirect set pieces,Indirect set pieces
680,Defence,250,1450
681,Attack,250,1150
682,Match plan,Match plan,Match plan
683,Team attitude,(Hidden),(Hidden)
684,Tactic,Normal,Normal
685,Tactic skill,(no tactic),(no tactic)
686,Style of play,100% Defensive,100% Defensive
687,Average ratings,Average ratings,Average ratings
688,Total player experience,250,725
689,Average midfield,150,725
690,Average defence,225,2450
691,Average attack,225,525
692,Total average,200,1225
693,Midfield,175,525
694,Right defence,200,1075
695,Central defence,250,1250
696,Left defence,250,900
697,Right attack,300,650
698,Central attack,225,625
699,Left attack,200,600
700,Indirect set pieces,Indirect set pieces,Indirect set pieces
701,Defence,275,975
702,Attack,300,900
703,Match plan,Match plan,Match plan
704,Team attitude,(Hidden),(Hidden)
705,Tactic,Normal,Attack in the Middle
706,Tactic skill,(no tactic),17
707,Style of play,100% Defensive,100% Offensive
708,Average ratings,Average ratings,Average ratings
709,Total player experience,250,475
710,Average midfield,175,525
711,Average defence,225,1075
712,Average attack,250,625
713,Total average,225,750
714,Midfield,175,775
715,Right defence,175,1350
716,Central defence,225,1450
717,Left defence,200,1450
718,Right attack,175,700
719,Central attack,200,850
720,Left attack,225,575
721,Indirect set pieces,Indirect set pieces,Indirect set pieces
722,Defence,250,750
723,Attack,325,650
724,Match plan,Match plan,Match plan
725,Team attitude,(Hidden),(Hidden)
726,Tactic,Normal,Normal
727,Tactic skill,(no tactic),(no tactic)
728,Style of play,100% Defensive,100% Offensive
729,Average ratings,Average ratings,Average ratings
730,Total player experience,300,625
731,Average midfield,175,775
732,Average defence,200,1425
733,Average attack,200,700
734,Total average,200,975
735,Midfield,200,775
736,Right defence,225,1175
737,Central defence,275,1550
738,Left defence,225,1425
739,Right attack,200,675
740,Central attack,200,900
741,Left attack,275,700
742,Indirect set pieces,Indirect set pieces,Indirect set pieces
743,Defence,250,825
744,Attack,275,650
745,Match plan,Match plan,Match plan
746,Team attitude,(Hidden),(Hidden)
747,Tactic,Normal,Normal
748,Tactic skill,(no tactic),(no tactic)
749,Style of play,100% Defensive,Neutral
750,Average ratings,Average ratings,Average ratings
751,Total player experience,225,550
752,Average midfield,200,775
753,Average defence,225,1375
754,Average attack,225,775
755,Total average,225,975
756,Midfield,200,725
757,Right defence,225,1025
758,Central defence,300,1575
759,Left defence,250,1125
760,Right attack,200,700
761,Central attack,175,1250
762,Left attack,225,775
763,Indirect set pieces,Indirect set pieces,Indirect set pieces
764,Defence,250,700
765,Attack,325,800
766,Match plan,Match plan,Match plan
767,Team attitude,(Hidden),(Hidden)
768,Tactic,Normal,Normal
769,Tactic skill,(no tactic),(no tactic)
770,Style of play,100% Defensive,Neutral
771,Average ratings,Average ratings,Average ratings
772,Total player experience,225,925
773,Average midfield,200,725
774,Average defence,250,1250
775,Average attack,200,900
776,Total average,225,950
777,Midfield,225,800
778,Right defence,250,1825
779,Central defence,225,2325
780,Left defence,225,2075
781,Right attack,250,350
782,Central attack,225,450
783,Left attack,225,375
784,Indirect set pieces,Indirect set pieces,Indirect set pieces
785,Defence,275,1425
786,Attack,275,1025
787,Match plan,Match plan,Match plan
788,Team attitude,(Hidden),(Hidden)
789,Tactic,Normal,Normal
790,Tactic skill,(no tactic),(no tactic)
791,Style of play,100% Offensive,100% Offensive
792,Average ratings,Average ratings,Average ratings
793,Total player experience,275,1075
794,Average midfield,225,800
795,Average defence,250,2075
796,Average attack,225,400
797,Total average,225,1100
798,Midfield,175,375
799,Right defence,200,1200
800,Central defence,225,900
801,Left defence,225,1025
802,Right attack,175,700
803,Central attack,175,600
804,Left attack,275,425
805,Indirect set pieces,Indirect set pieces,Indirect set pieces
806,Defence,275,550
807,Attack,275,550
808,Match plan,Match plan,Match plan
809,Team attitude,(Hidden),(Hidden)
810,Tactic,Normal,Attack on wings
811,Tactic skill,(no tactic),15
812,Style of play,100% Defensive,100% Offensive
813,Average ratings,Average ratings,Average ratings
814,Total player experience,250,500
815,Average midfield,175,375
816,Average defence,200,1050
817,Average attack,200,575
818,Total average,200,675
819,Midfield,225,575
820,Right defence,200,950
821,Central defence,225,1025
822,Left defence,175,1125
823,Right attack,225,600
824,Central attack,200,575
825,Left attack,250,700
826,Indirect set pieces,Indirect set pieces,Indirect set pieces
827,Defence,275,875
828,Attack,275,675
829,Match plan,Match plan,Match plan
830,Team attitude,(Hidden),(Hidden)
831,Tactic,Normal,Attack on wings
832,Tactic skill,(no tactic),18
833,Style of play,100% Offensive,Neutral
834,Average ratings,Average ratings,Average ratings
835,Total player experience,225,525
836,Average midfield,225,575
837,Average defence,200,1025
838,Average attack,225,625
839,Total average,225,750
840,Midfield,450,850
841,Right defence,325,1025
842,Central defence,450,1525
843,Left defence,500,975
844,Right attack,425,600
845,Central attack,325,1050
846,Left attack,375,700
847,Indirect set pieces,Indirect set pieces,Indirect set pieces
848,Defence,500,725
849,Attack,475,675
850,Match plan,Match plan,Match plan
851,Team attitude,(Hidden),(Hidden)
852,Tactic,Normal,Normal
853,Tactic skill,(no tactic),(no tactic)
854,Style of play,Neutral,Neutral
855,Average ratings,Average ratings,Average ratings
856,Total player experience,325,700
857,Average midfield,450,850
858,Average defence,425,1175
859,Average attack,375,775
860,Total average,425,925
861,Midfield,200,725
862,Right defence,275,775
863,Central defence,250,850
864,Left defence,175,925
865,Right attack,225,900
866,Central attack,275,825
867,Left attack,250,950
868,Indirect set pieces,Indirect set pieces,Indirect set pieces
869,Defence,250,800
870,Attack,325,725
871,Match plan,Match plan,Match plan
872,Team attitude,(Hidden),(Hidden)
873,Tactic,Normal,Attack on wings
874,Tactic skill,(no tactic),15
875,Style of play,100% Defensive,100% Offensive
876,Average ratings,Average ratings,Average ratings
877,Total player experience,275,875
878,Average midfield,200,725
879,Average defence,225,850
880,Average attack,250,875
881,Total average,225,825
882,Midfield,200,450
883,Right defence,250,675
884,Central defence,250,1100
885,Left defence,200,1475
886,Right attack,225,450
887,Central attack,225,425
888,Left attack,300,500
889,Indirect set pieces,Indirect set pieces,Indirect set pieces
890,Defence,300,800
891,Attack,325,575
892,Match plan,Match plan,Match plan
893,Team attitude,(Hidden),(Hidden)
894,Tactic,Normal,Normal
895,Tactic skill,(no tactic),(no tactic)
896,Style of play,100% Offensive,100% Offensive
897,Average ratings,Average ratings,Average ratings
898,Total player experience,275,675
899,Average midfield,200,450
900,Average defence,225,1075
901,Average attack,250,450
902,Total average,225,650
903,Midfield,175,375
904,Right defence,275,950
905,Central defence,300,900
906,Left defence,200,850
907,Right attack,225,450
908,Central attack,200,500
909,Left attack,200,500
910,Indirect set pieces,Indirect set pieces,Indirect set pieces
911,Defence,275,875
912,Attack,275,875
913,Match plan,Match plan,Match plan
914,Team attitude,(Hidden),(Hidden)
915,Tactic,Normal,Normal
916,Tactic skill,(no tactic),(no tactic)
917,Style of play,100% Defensive,Neutral
918,Average ratings,Average ratings,Average ratings
919,Total player experience,250,350
920,Average midfield,175,375
921,Average defence,250,900
922,Average attack,225,475
923,Total average,225,575
924,Midfield,175,375
925,Right defence,300,725
926,Central defence,300,700
927,Left defence,250,475
928,Right attack,200,250
929,Central attack,200,225
930,Left attack,200,225
931,Indirect set pieces,Indirect set pieces,Indirect set pieces
932,Defence,275,525
933,Attack,250,400
934,Match plan,Match plan,Match plan
935,Team attitude,(Hidden),(Hidden)
936,Tactic,Normal,Normal
937,Tactic skill,(no tactic),(no tactic)
938,Style of play,100% Defensive,Neutral
939,Average ratings,Average ratings,Average ratings
940,Total player experience,275,375
941,Average midfield,175,375
942,Average defence,275,650
943,Average attack,200,225
944,Total average,225,425
945,Midfield,200,550
946,Right defence,200,1575
947,Central defence,200,1350
948,Left defence,175,1675
949,Right attack,250,500
950,Central attack,200,300
951,Left attack,225,500
952,Indirect set pieces,Indirect set pieces,Indirect set pieces
953,Defence,225,650
954,Attack,275,525
955,Match plan,Match plan,Match plan
956,Team attitude,(Hidden),(Hidden)
957,Tactic,Normal,Normal
958,Tactic skill,(no tactic),(no tactic)
959,Style of play,100% Offensive,100% Defensive
960,Average ratings,Average ratings,Average ratings
961,Total player experience,250,300
962,Average midfield,200,550
963,Average defence,200,1525
964,Average attack,225,425
965,Total average,200,825
966,Midfield,425,575
967,Right defence,325,1175
968,Central defence,450,1025
969,Left defence,500,1100
970,Right attack,400,650
971,Central attack,350,575
972,Left attack,400,500
973,Indirect set pieces,Indirect set pieces,Indirect set pieces
974,Defence,475,825
975,Attack,500,650
976,Match plan,Match plan,Match plan
977,Team attitude,(Hidden),(Hidden)
978,Tactic,Normal,Normal
